Freq.	Ic(Q8)
Step Information: Cl=1µ  (Step: 1/2)
1.34896288259165e+01	(9.14225363773132e+01dB,-4.81224794533608e+01°)
1.38038426460288e+01	(9.13107072866656e+01dB,-4.87799595205879e+01°)
1.41253754462275e+01	(9.11966144701596e+01dB,-4.94355173677468e+01°)
1.44543977074592e+01	(9.10802725665455e+01dB,-5.00888219383154e+01°)
1.47910838816820e+01	(9.09616984324467e+01dB,-5.07395480744648e+01°)
1.51356124843620e+01	(9.08409110738100e+01dB,-5.13873772979495e+01°)
1.54881661891248e+01	(9.07179315695401e+01dB,-5.20319985501660e+01°)
1.58489319246111e+01	(9.05927829879959e+01dB,-5.26731088877328e+01°)
1.62181009735892e+01	(9.04654902969914e+01dB,-5.33104141302796e+01°)
1.65958690743755e+01	(9.03360802680455e+01dB,-5.39436294573883e+01°)
1.69824365246174e+01	(9.02045813756242e+01dB,-5.45724799526065e+01°)
1.73780082874937e+01	(9.00710236921406e+01dB,-5.51967010927197e+01°)
1.77827941003892e+01	(8.99354387794934e+01dB,-5.58160391809555e+01°)
1.81970085860998e+01	(8.97978595779119e+01dB,-5.64302517234802e+01°)
1.86208713666286e+01	(8.96583202928835e+01dB,-5.70391077489729e+01°)
1.90546071796324e+01	(8.95168562808893e+01dB,-5.76423880715435e+01°)
1.94984459975804e+01	(8.93735039347055e+01dB,-5.82398854977570e+01°)
1.99526231496887e+01	(8.92283005689291e+01dB,-5.88314049788283e+01°)
2.04173794466952e+01	(8.90812843064111e+01dB,-5.94167637097469e+01°)
2.08929613085403e+01	(8.89324939661760e+01dB,-5.99957911769770e+01°)
2.13796208950222e+01	(8.87819689534375e+01dB,-6.05683291570945e+01°)
2.18776162394954e+01	(8.86297491521498e+01dB,-6.11342316684549e+01°)
2.23872113856833e+01	(8.84758748208098e+01dB,-6.16933648809531e+01°)
2.29086765276776e+01	(8.83203864913587e+01dB,-6.22456069804339e+01°)
2.34422881531991e+01	(8.81633248722876e+01dB,-6.27908479995184e+01°)
2.39883291901948e+01	(8.80047307556932e+01dB,-6.33289896110182e+01°)
2.45470891568502e+01	(8.78446449287763e+01dB,-6.38599448902339e+01°)
2.51188643150957e+01	(8.76831080899290e+01dB,-6.43836380485220e+01°)
2.57039578276885e+01	(8.75201607695953e+01dB,-6.49000041413466e+01°)
2.63026799189537e+01	(8.73558432559874e+01dB,-6.54089887541108e+01°)
2.69153480392690e+01	(8.71901955257566e+01dB,-6.59105476685599e+01°)
2.75422870333815e+01	(8.70232571796096e+01dB,-6.64046465130293e+01°)
2.81838293126444e+01	(8.68550673828964e+01dB,-6.68912603990485e+01°)
2.88403150312659e+01	(8.66856648111023e+01dB,-6.73703735473175e+01°)
2.95120922666637e+01	(8.65150876001679e+01dB,-6.78419789052254e+01°)
3.01995172040200e+01	(8.63433733015785e+01dB,-6.83060777593361e+01°)
3.09029543251358e+01	(8.61705588420646e+01dB,-6.87626793442073e+01°)
3.16227766016837e+01	(8.59966804876665e+01dB,-6.92118004482196e+01°)
3.23593656929627e+01	(8.58217738122642e+01dB,-6.96534650225224e+01°)
3.31131121482590e+01	(8.56458736701418e+01dB,-7.00877037908959e+01°)
3.38844156139201e+01	(8.54690141725220e+01dB,-7.05145538636678e+01°)
3.46736850452530e+01	(8.52912286678416e+01dB,-7.09340583572526e+01°)
3.54813389233574e+01	(8.51125497255833e+01dB,-7.13462660201857e+01°)
3.63078054770100e+01	(8.49330091234453e+01dB,-7.17512308670531e+01°)
3.71535229097171e+01	(8.47526378376493e+01dB,-7.21490118211683e+01°)
3.80189396320559e+01	(8.45714660361646e+01dB,-7.25396723664405e+01°)
3.89045144994279e+01	(8.43895230747260e+01dB,-7.29232802112342e+01°)
3.98107170553495e+01	(8.42068374952329e+01dB,-7.32999069600203e+01°)
4.07380277804111e+01	(8.40234370266167e+01dB,-7.36696277993855e+01°)
4.16869383470333e+01	(8.38393485877558e+01dB,-7.40325211940762e+01°)
4.26579518801591e+01	(8.36545982924154e+01dB,-7.43886685965159e+01°)
4.36515832240164e+01	(8.34692114558260e+01dB,-7.47381541660500e+01°)
4.46683592150961e+01	(8.32832126029898e+01dB,-7.50810645028048e+01°)
4.57088189614873e+01	(8.30966254783479e+01dB,-7.54174883927711e+01°)
4.67735141287196e+01	(8.29094730567389e+01dB,-7.57475165652659e+01°)
4.78630092322636e+01	(8.27217775554800e+01dB,-7.60712414621222e+01°)
4.89778819368444e+01	(8.25335604474771e+01dB,-7.63887570203716e+01°)
5.01187233627270e+01	(8.23448424751032e+01dB,-7.67001584640389e+01°)
5.12861383991362e+01	(8.21556436649016e+01dB,-7.70055421096424e+01°)
5.24807460249770e+01	(8.19659833428988e+01dB,-7.73050051830441e+01°)
5.37031796370250e+01	(8.17758801503651e+01dB,-7.75986456451668e+01°)
5.49540873857622e+01	(8.15853520600704e+01dB,-7.78865620301760e+01°)
5.62341325190346e+01	(8.13944163928551e+01dB,-7.81688532944263e+01°)
5.75439937337154e+01	(8.12030898343892e+01dB,-7.84456186728604e+01°)
5.88843655355586e+01	(8.10113884521703e+01dB,-7.87169575474137e+01°)
